Switch_traffic_lights 增刪號誌燈
Public_transport 大眾交通工具
Prevent_excessive_transfers_at_public_transport_stations 在大眾交通工具的站點中避免不必要的轉乘
Compact_main_menu 小型選單按鈕
Window_transparency 視窗透明度
Overlay_transparency 疊視透明度
Remove_this_citizen 移除此市民
Show_error_message_if_a_mod_incompatibility_is_detected 若偵測到有不相容的模組（MOD）則顯示錯誤訊息
Remove_parked_vehicles 移除停好的車輛
Node_is_level_crossing 這個路口是鐵路平交道。\n您不能刪除這裡的號誌燈。
Experimental_features 實驗功能
Turn_on_red 允許紅燈右（左）轉
Vehicles_may_turn_on_red 車輛可能會在紅燈時右（左）轉
Also_apply_to_left/right_turns_between_one-way_streets 也適用在單行道之間的左右轉
